id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed
10637_20140312,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1635.22427718651,-1626.59328192797,-1629.59328192797,-1635.92714633008,0.0332209190892265,1.03011957185917,-1.07965997704224,2.54898849395019,0.73693907667568,0.253570368243301,12.7941558692566
10638_20140516,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1570.66549028311,-1561.03428423665,-1564.03428423665,-1570.36814863875,0.0416541809555276,-0.808083059453376,-0.832713927897289,2.03810020837235,0.308299134470089,0.303071530380823,7.67601251363184
10662_20140415,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1077.32853469389,-1068.45157334595,-1071.45157334595,-1077.78543774806,0.166198987831467,-0.942683334521841,2.01645576078549,0.963080165870649,0.280358640315593,0.882514029615031,2.61975333362806
10711_20140825,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1803.03238293,-1795.99050757573,-1798.99050757573,-1805.32437197783,0.00943634449615272,-2.97531783982149,0.706806379116773,1.51710174452972,0.0485534693053522,0.669695102703484,4.55899290300301
10767_20140828,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1666.79169894261,-1660.12689503749,-1663.12689503749,-1669.4607594396,0.02290587195128,2.08001133113766,2.34323382372274,2.13565924340141,0.888945151922342,0.912394911062976,8.46262359709463
10772_20140509,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1699.34511482334,-1690.02979020342,-1693.02979020342,-1699.36365460553,0.0142271781021216,-1.52302825587541,-3.21766736911699,2.67812157565562,0.179016026107241,0.0385062548075027,14.5577220170552
10811_20140801,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1575.86859643888,-1567.32992056353,-1570.32992056353,-1576.66378496564,0.0579268156862944,3.48013077453038,-1.60903464507328,2.57396081056241,0.970117111570192,0.166722683551505,13.117678320293
10814_20140807,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1777.78872711257,-1770.91967480921,-1773.91967480921,-1780.25353921132,0.0150636805987895,0.333542671405577,2.55997493877976,2.2319477129414,0.582621112866996,0.928240788430617,9.31799720037742
10822_20140703,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1558.53122481747,-1550.61003434798,-1553.61003434798,-1559.94389875009,0.0474074860051329,-0.767485843018688,1.92778326175112,1.61120929077664,0.317023219674442,0.873003857414806,5.00886474079968
10873_20141014,mmclock_meg,decay_factorize,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1393.22626035839,-1384.72611298758,-1387.72611298758,-1394.05997738969,0.103740405530759,-0.248992347990109,2.38071089416123,1.43026515194694,0.438071532136222,0.915344536954569,4.17980732905551
