id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed
10637_20140312,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1635.3399392061,-1626.59035837841,-1629.59035837841,-1635.92422278052,0.0332346562119403,1.05045993914146,-1.46802421890111,2.55185579216989,0.740863210340395,0.187243108728636,12.8308931728364
10638_20140516,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1571.14760348546,-1561.04701847025,-1564.04701847025,-1570.38088287235,0.0416896548013382,-0.797787299246794,-2.2582509046072,2.03712755293432,0.310499035871832,0.0946401311280751,7.66855002811996
10662_20140415,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1078.00149630468,-1068.10385455729,-1071.10385455729,-1077.4377189594,0.166003338616971,-1.4488989904468,-1.00893474037174,0.595770948060934,0.190171070291141,0.267188375527262,1.81442923658744
10711_20140825,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1803.96266742541,-1795.93329090991,-1798.93329090991,-1805.26715531202,0.00946031913216949,-3.19738050733608,-3.34738414086535,1.30231130621092,0.0392644180231768,0.0339809283404132,3.67778734429383
10767_20140828,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1666.7397934991,-1659.96357783349,-1662.96357783349,-1669.2974422356,0.022748841035314,0.204189033415518,1.91897584034188,1.67245193373373,0.550870634586013,0.872024183044855,5.32520886198212
10772_20140509,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1700.09313338843,-1690.04284073836,-1693.04284073836,-1699.37670514047,0.0142537125284927,-1.49522369490448,-4.9381979703581,2.68277768979243,0.183138973592914,0.00711649529433339,14.6256624788687
10811_20140801,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1575.8105819944,-1567.2615458919,-1570.2615458919,-1576.59541029401,0.0582052419399584,3.52476860329589,-1.5844672125602,2.55794642151069,0.971384354315289,0.170163745887853,12.9092798570653
10814_20140807,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1775.10566673929,-1768.31804660968,-1771.31804660968,-1777.65191101178,0.0158846213726671,-2.64181645781246,0.595997006328267,0.068190193729719,0.0664951927057012,0.644739951291617,1.0705689046097
10822_20140703,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1558.18709089375,-1549.83026852749,-1552.83026852749,-1559.1641329296,0.0471191075520138,-2.03479591178917,-0.721958820617874,0.598034039992848,0.115597707972006,0.326961783206782,1.8185401066377
10873_20141014,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1392.82460171443,-1383.74894389318,-1386.74894389318,-1393.08280829529,0.104388690390231,-1.49265483662298,-0.198519382215348,0.594981868512615,0.183523585305323,0.450532507102686,1.81299807231047
10891_20140925,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1662.12378913682,-1652.46937938177,-1655.46937938177,-1661.80324378388,0.0260379680002988,-1.12764909894573,-2.22445083846518,2.19089991393211,0.244595212264379,0.0975761828135079,8.94325765662178
10895_20140709,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1845.25392235982,-1840.32220771994,-1843.32220771994,-1849.65607212205,0.00255929188074189,-0.98368111782975,0.722022013296381,2.03136722141652,0.272161980367808,0.673052122681418,7.6245036204458
10997_20140221,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1689.68665249903,-1680.56552465043,-1683.56552465043,-1689.89938905254,0.0237498577556884,1.37706730470757,-3.09475700148832,2.9943160616526,0.798519583511457,0.0433240423039149,19.9716958090689
11162_20140708,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1446.73561705212,-1437.82551644276,-1440.82551644276,-1447.15938084487,0.0636636997773586,4.10057161138821,-2.22212712278367,2.5635074461917,0.983706664870805,0.0977809891897479,12.9812686612018
11178_20140515,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1365.3622946315,-1356.83832750618,-1359.83832750618,-1366.17219190828,0.108610938371181,2.43066173849563,-0.80138582858796,2.12324631237161,0.919135730300307,0.309729154771529,8.35822690895504
11216_20141008,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1729.06673310238,-1720.68036275492,-1723.68036275492,-1730.01422715703,0.0213349313924209,-3.47360976651824,-1.72751913157193,-0.185724057529332,0.0300725124557252,0.150905185161695,0.830502734342249
11228_20140911,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1251.01952718067,-1241.36865455869,-1244.36865455869,-1250.70251896079,0.117413819478355,-1.08780879972202,-0.880492960513275,0.933309105791245,0.252031120218392,0.293075635792692,2.54291002860189
11229_20140212,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-3.98300672259298,-3.69972973399433,-6.69972973399433,-13.0335941361014,0.998015701916896,-1.51410912870818,-0.425430509122942,-1.55232836931254,0.180330618709414,0.395218010038756,0.211754357041928
11243_20140213,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1605.79893595199,-1598.27492750813,-1601.27492750813,-1607.60879191024,0.0444579834547028,2.54240583616301,0.754789464059489,2.28750998104843,0.927061672432127,0.680221402606806,9.85037948707462
11246_20140218,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1555.97980293226,-1546.04824471831,-1549.04824471831,-1555.38210912042,0.0431965812256546,-5.22869235017358,-2.26541078633497,-1.68444743070892,0.00533194834691158,0.0940284262665917,0.185546931170622
11250_20140421,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1129.40416056349,-1120.46006442065,-1123.46006442065,-1129.79392882275,0.151986522174441,3.77224407649297,-1.36953752798781,2.00993768486585,0.977516733225692,0.202694576018479,7.4628522841879
11250_20140422,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1129.40416056349,-1120.46006442065,-1123.46006442065,-1129.79392882275,0.151986522174441,3.77224407649297,-1.36953752798781,2.00993768486585,0.977516733225692,0.202694576018479,7.4628522841879
11253_20140219,mmclock_meg,decay,7,h_sceptic_fixed_decay_fmri,g_sceptic,-1162.45100278937,-1152.69957899732,-1155.69957899732,-1161.83314631049,0.0947688752633815,-0.375849306421855,-1.63660189692846,1.65737555397375,0.407128382666248,0.162927973533272,5.24552616348805
11255_20140318,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1726.05115902478,-1717.48178471843,-1720.48178471843,-1726.81564912054,0.0154743766721623,1.69084626171279,-3.16999402895358,3.23635052771092,0.844335419106845,0.0403106464161751,25.4407069680631
11258_20140303,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1171.91941339508,-1163.03409698203,-1166.03409698203,-1172.36796138413,0.188558142896565,-0.984917513574982,0.417671028818459,0.504306036630434,0.271917131940896,0.602925813420827,1.65583603210329
11262_20140312,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1205.87207239028,-1195.16454175137,-1198.16454175137,-1204.49840615348,0.120764372621363,0.735268119730239,-1.81736591985556,2.06858410516899,0.675960258902496,0.139750241977282,7.91361034168938
11263_20140324,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1460.20076557033,-1451.38339211718,-1454.38339211718,-1460.71725651929,0.0584539092590433,4.13574239695303,-2.19405197001626,2.58616948728988,0.984260891556598,0.100285897234854,13.2788094116213
11265_20140923,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1272.12187395668,-1262.43193174941,-1265.43193174941,-1271.76579615152,0.10051659335856,-0.118273798461496,-1.22017390889007,1.77547608492352,0.470465970895381,0.227905847286958,5.90309083998828
11274_20140528,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1450.96610805271,-1442.28664356718,-1445.28664356718,-1451.62050796929,0.0567833493544206,3.77331863827473,-1.72211313175362,2.40277388781355,0.977540337582666,0.151599179130421,11.0537958831696
11275_20140620,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1720.16882155716,-1712.28729562338,-1715.28729562338,-1721.62116002549,0.0233954191730309,3.11956486038184,-1.22054542425927,2.8589214647655,0.957692600906777,0.227840480278217,17.4427042168386
11277_20140519,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1561.35438823986,-1553.69202554462,-1556.69202554462,-1563.02588994673,0.0517391934237922,3.3388993702415,0.416608663252172,2.18645282267332,0.965739444685638,0.60267144864631,8.90357447643369
11278_20140505,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1153.20201519916,-1143.4506805875,-1146.4506805875,-1152.78454498961,0.211708135671415,-0.982128771974275,-0.308487229210059,0.602737196086198,0.272469593040717,0.423484031939814,1.82711312894959
11279_20140507,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1749.65976003283,-1742.0956425632,-1745.0956425632,-1751.42950696531,0.0183037934077636,2.40884702469931,-1.22206680497993,2.86272047271295,0.91749945031874,0.227572935822082,17.5090952189068
11280_20140926,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-3.94412182667797,-3.69832641095971,-6.69832641095971,-13.0321908130668,0.998015722466,-1.49051779841127,-0.303572463437141,-1.34340446723034,0.183844021432081,0.424684397927544,0.260955739309311
11282_20141030,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1392.04984895448,-1383.40496800754,-1386.40496800754,-1392.73883240965,0.0900459555147141,2.49079033421209,-1.09471077664952,2.21512414081797,0.923493660918393,0.250732246792058,9.16254648702555
11287_20140522,mmclock_meg,decay,6,h_sceptic_fixed_decay_fmri,g_sceptic,-1064.6099846989,-1056.26011351893,-1059.26011351893,-1065.16245481236,0.091905668474201,1.50804425177571,0.0201077463056039,1.76453701618345,0.818771184183389,0.505026767208387,5.83886843060663
11288_20140711,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1290.88768169953,-1281.85370993032,-1284.85370993032,-1291.18757433243,0.113832710751517,1.6598882201671,-1.06197539459788,1.97467114750016,0.840222997373124,0.256932135236452,7.20425012856539
11302_20140826,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1766.67838618989,-1756.97037462163,-1759.97037462163,-1766.30423902373,0.00835905283453375,-2.1284000037609,-6.67807841254908,2.64486263614617,0.106366980434473,0.00125661231842047,14.0815106596956
11304_20140722,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1408.75562903302,-1399.64989004075,-1402.64989004075,-1408.98375444286,0.0909687010461662,4.12074013343233,-2.19878674148402,2.45656522418564,0.984026789293445,0.0998594930532381,11.6646771022475
