id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed
10637_20140312,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1635.34769090003,-1625.87188228827,-1628.87188228827,-1635.20574669037,0.0370832421901115,-1.14095940523269,-0.937172454288238,2.37778242402817,0.24214425659069,0.281471847315955,10.7809687186633
10638_20140516,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1568.45107038975,-1557.91309673138,-1560.91309673138,-1567.24696113349,0.0436516621438581,-1.71973040672819,-1.85484826887392,2.1529142656664,0.151905892231271,0.135304658989286,8.60991344605745
10662_20140415,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1063.23149524801,-1052.59387237228,-1055.59387237228,-1061.92773677439,0.17518656441221,-1.81678373959942,-0.599032529129839,1.18512287189478,0.139820246432866,0.354565067040661,3.27108872164356
10711_20140825,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1810.81760641126,-1802.57301209189,-1805.57301209189,-1811.906876494,0.00931944018844333,-4.26896174099882,-3.17784260918394,1.33784804483834,0.0138031147668004,0.0400081116808127,3.81083393146795
10767_20140828,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1639.59521335468,-1632.11783078976,-1635.11783078976,-1641.45169519187,0.0253200797591242,1.26706024807037,2.00783093781884,2.82965691131723,0.780239095551127,0.881616827535656,16.9396480259175
10772_20140509,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1694.73724045453,-1684.24848410652,-1687.24848410652,-1693.58234850863,0.0147981167656307,-2.67894780189278,-5.007244194971,2.64607943881649,0.0642270865931499,0.00664486280641467,14.0986555083018
10811_20140801,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1594.97612758327,-1584.76241246204,-1587.76241246204,-1594.09627686414,0.0527639952028478,0.732867650050625,-1.79775623836131,2.99506347884178,0.675434242925466,0.14212441607508,19.9866285776225
10814_20140807,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1765.89686521398,-1758.94313834365,-1761.94313834365,-1768.27700274576,0.0191824258069185,-2.25305199607619,1.22345893844411,1.3905722504084,0.0950865309165506,0.772671685450039,4.01714821007466
10822_20140703,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1533.02571565019,-1523.91190760726,-1526.91190760726,-1533.24577200937,0.0516868278176293,-1.76615807936725,-0.10858885261925,1.63270760609056,0.146020760200951,0.472879431046373,5.11771272629312
10873_20141014,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1398.80412002505,-1388.63936789432,-1391.63936789432,-1397.97323229643,0.102826207013588,-0.94181945140468,0.0193654682034943,1.92568362792888,0.280532968430108,0.50484121575521,6.859836639216
10891_20140925,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1682.5031036565,-1672.91416468512,-1675.91416468512,-1682.24802908723,0.0246451459998712,-2.12079110963729,-1.54004597788953,2.12585950912775,0.107092398204506,0.176528591046441,8.38009716359416
10895_20140709,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1843.01009280956,-1837.43261705589,-1840.43261705589,-1846.766481458,0.00299824935602355,0.680446662989867,0.896085447253411,3.77120757547361,0.66383838066371,0.710144397026144,43.4324811801673
10997_20140221,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1703.72398548345,-1693.81723918852,-1696.81723918852,-1703.15110359063,0.0211729952178795,-0.200481917545748,-2.67523071303482,3.15719476588208,0.450046722975184,0.0644508531494346,23.5045675450261
11162_20140708,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1439.23063799778,-1428.57223005688,-1431.57223005688,-1437.90609445899,0.0667614282626933,0.461096205385088,-2.18955738536782,2.73350950234906,0.613274194287953,0.100692166676272,15.3867923580493
11178_20140515,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1372.2092641373,-1361.91701015747,-1364.91701015747,-1371.25087455958,0.105178915288786,0.146913668167642,-0.564449681254513,2.44853691782212,0.536662498280417,0.362518515778013,11.571404412683
11216_20141008,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1739.75769708671,-1731.16930481848,-1734.16930481848,-1740.50316922058,0.0202036143193233,-3.74411196799729,-1.54877396017052,0.545668050198683,0.0231099246836783,0.17526341695093,1.7257608922733
11228_20140911,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1238.67919269806,-1227.87415706993,-1230.87415706993,-1237.20802147204,0.122391229507236,-0.810664896947421,-0.885697414398971,1.93768096164808,0.30774882828991,0.291998527427125,6.94263205766744
11229_20140212,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1743.43110138655,-1735.27092200654,-1738.27092200654,-1744.60478640865,0.0207695299212749,0.124101846968333,0.593065320617488,2.93359054724058,0.530985703684731,0.644068163083625,18.7949938018694
11243_20140213,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1608.92003396877,-1600.34062903797,-1603.34062903797,-1609.67449344008,0.0397114357223795,1.80244772742183,0.511854484952023,3.07228293157589,0.858446634216918,0.625241108310835,21.5911375433583
11246_20140218,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1571.78620994681,-1561.42160985668,-1564.42160985668,-1570.75547425879,0.041057619098954,-1.26922839408373,-2.11969742507275,2.45788966890152,0.219389366909089,0.107197025227403,11.6801365575351
11250_20140422,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1129.95099717491,-1119.14747908222,-1122.14747908222,-1128.48134348432,0.155726398311196,0.265276515669749,-1.17373895568783,2.18832452378635,0.565932930995438,0.236179815533545,8.92025491221662
11253_20140219,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1313.46859096024,-1302.96958829282,-1305.96958829282,-1312.30345269493,0.100988952880836,-0.727442171425438,-1.40841773246286,2.18710776034653,0.325756276066565,0.196483741449557,8.90940767276611
11255_20140318,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1728.36514665417,-1718.56181050666,-1721.56181050666,-1727.89567490877,0.0154135906915515,-0.534758472224841,-3.02049989168115,3.29603337557684,0.369407735421182,0.0465083016523427,27.0053062798082
11258_20140303,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1166.42655674147,-1157.13173888505,-1160.13173888505,-1166.46560328716,0.191963459934241,-0.613084585410253,1.33544238004065,1.55018158157761,0.351355883791748,0.791739443347049,4.71232577645707
11262_20140312,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1222.75416077838,-1211.21076008657,-1214.21076008657,-1220.54462448868,0.120828099476995,-0.85791062162772,-1.55620691271764,2.14869758456056,0.297776061438892,0.174191604289229,8.57368462308343
11263_20140324,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1457.85966432139,-1447.4096636726,-1450.4096636726,-1456.74352807471,0.0598239955371315,0.328272393589229,-2.06275241642428,2.74945042971023,0.581338964311656,0.112770148783097,15.6340375202707
11265_20140923,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1251.44370413329,-1241.07915125835,-1244.07915125835,-1250.41301566046,0.10421187810446,-0.823278457899293,-0.944126872440214,2.11639104196283,0.305068177779162,0.280067487827677,8.30112495165935
