id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed
10637_20140312,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1634.52734066692,-1626.06973805709,-1629.06973805709,-1635.4036024592,0.0369570808256739,-3.03946142277968,-1.09308656068142,0.685938542404305,0.0456746407969412,0.251037504599655,1.98563456351314
10638_20140516,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1567.42344940994,-1557.90699736239,-1560.90699736239,-1567.24086176449,0.0433011831438577,-3.28082694879382,-1.96014750331774,0.738618030763003,0.0362348267034719,0.123451085209725,2.09304099661861
10662_20140415,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1068.48185014051,-1058.52303076397,-1061.52303076397,-1067.85689516608,0.173721710864139,-4.45888063075684,-1.06592489191974,-1.42551698108873,0.0114428584189445,0.256178829204836,0.240384157015928
10711_20140825,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1811.93034569974,-1803.60848840749,-1806.60848840749,-1812.9423528096,0.00883112696429211,-4.76053521759426,-3.43722463105834,0.808715435248278,0.00848835711198233,0.0311521405604236,2.2450222571617
10767_20140828,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1639.57240826944,-1632.37564353513,-1635.37564353513,-1641.70950793724,0.0256533382078926,-2.46019998530793,1.51372954447175,0.516009977592181,0.0786958364536913,0.819613267572038,1.67532969307064
10772_20140509,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1694.70901558389,-1684.27617172213,-1687.27617172213,-1693.61003612423,0.0147280972852083,-2.74913460958992,-5.01272374653218,2.55036583228001,0.0601355427847297,0.00660879148746772,12.8117898917529
10811_20140801,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1595.00881835089,-1584.76332810808,-1587.76332810808,-1594.09719251019,0.0527780782742017,0.134038746223106,-1.79358367121176,2.75817655539725,0.533459605868556,0.142633916679584,15.7710590607996
10814_20140807,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1770.593133732,-1763.19340950675,-1766.19340950675,-1772.52727390885,0.016977055883772,-3.42668812403956,0.153822835964024,0.198224145673414,0.0314717258939986,0.538380061445214,1.21923564959168
10822_20140703,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1536.97083598167,-1528.28931385229,-1531.28931385229,-1537.6231782544,0.0513432412128554,-4.10415898512603,-0.694531418929444,-0.626298942572396,0.0162359368578297,0.333025795806759,0.534566606027078
10873_20141014,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1400.92870477977,-1391.65278833715,-1394.65278833715,-1400.98665273926,0.101809722232853,-4.02856185470181,-0.354299093105155,-0.922351554570237,0.0174886146387024,0.412340291873767,0.397583002816002
10891_20140925,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1682.75623945965,-1674.0587215836,-1677.0587215836,-1683.39258598571,0.0252108180099933,-4.76071040099808,-1.81964531093378,-0.399717565876056,0.00848688284198674,0.139476438279398,0.670509394028512
10895_20140709,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1837.36301059878,-1830.49039550762,-1833.49039550762,-1839.82425990973,0.00346746670668552,2.75831855359609,-2.76929238909079,4.29496823958576,0.940381434864341,0.0590062909828498,73.3298854205019
10997_20140221,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1703.64230382487,-1693.81809281867,-1696.81809281867,-1703.15195722078,0.0211749221649642,-0.464428471570503,-2.67226437833431,3.00255345973038,0.385935794545166,0.0646299453098846,20.1368900690765
11162_20140708,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1439.22483240998,-1428.5727203733,-1431.5727203733,-1437.90658477541,0.0667644806876141,0.0538481247329153,-2.18818396225427,2.55460423371612,0.513458779227662,0.100816602832204,12.8662066389769
11178_20140515,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1371.61599804844,-1361.91591486409,-1364.91591486409,-1371.2497792662,0.105154506067935,-1.49836841188773,-0.577258815448473,1.36828446669805,0.18266899548556,0.359563583798095,3.92860525796321
11216_20141008,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1743.07514682526,-1734.51056668916,-1737.51056668916,-1743.84443109127,0.0181686706733959,-4.16526363343926,-1.84079491624168,0.079503274129917,0.015288261528942,0.136957306355237,1.08274910458487
11228_20140911,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1237.56139856407,-1227.97167892873,-1230.97167892873,-1237.30554333083,0.122632804042721,-3.05422033886525,-0.949096541897101,0.00626077032851793,0.0450356187218006,0.279066550991143,1.00628040991599
11229_20140212,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1742.86396581742,-1735.49814004101,-1738.49814004101,-1744.83200444312,0.0205263632206591,-2.57516718074193,0.333540437730051,0.895181176892867,0.0707538193153204,0.582620569695638,2.44777923032585
11243_20140213,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1608.93068115586,-1600.30948135388,-1603.30948135388,-1609.64334575598,0.0398384425317012,-1.05177690385695,0.497510406832855,1.86660464765442,0.258884032515295,0.621874089443039,6.4663037044909
11246_20140218,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1571.25900054507,-1561.4233168937,-1564.4233168937,-1570.75718129581,0.0410488285762132,-2.05405930216454,-2.11902716612058,1.796613284851,0.113642853544071,0.10726118980288,6.02919368680849
11250_20140422,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1129.76384104759,-1119.14752881435,-1122.14752881435,-1128.48139321646,0.155715493368164,-0.704595889068315,-1.17232383718151,1.65038073000807,0.330794048877515,0.236435196670551,5.20896265808914
11253_20140219,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1312.83228987845,-1302.97093935858,-1305.97093935858,-1312.30480376069,0.100955896804818,-1.8733393557211,-1.41506014022214,1.28934034175884,0.133155803877138,0.19543716601568,3.63039094839088
11255_20140318,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1728.27622406306,-1718.56577240832,-1721.56577240832,-1727.89963681043,0.0153960285180293,-0.746761710092351,-3.0103182945471,3.15582808335628,0.321527317020456,0.0469618978809739,23.4724662044529
11258_20140303,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1173.45352146737,-1164.38843565309,-1167.38843565309,-1173.7223000552,0.189867917694559,-3.81825647235455,0.272987976840872,-1.33446505829215,0.0214939289093676,0.567826301352605,0.263298987399574
11262_20140312,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1222.11758028047,-1211.21168649067,-1214.21168649067,-1220.54555089277,0.120834691023093,-1.94247152805394,-1.55895480819094,1.28138457726303,0.125376584400096,0.173796676400002,3.60162300022492
11263_20140324,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1457.82162544644,-1447.40988479268,-1450.40988479268,-1456.74374919478,0.0598255785210886,-0.126566444705858,-2.06197125327492,2.53350165651787,0.468400560355288,0.112848330177834,12.5975412561903
