id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed
10637_20140312,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1632.70675007482,-1624.33290750372,-1627.33290750372,-1633.66677190583,0.0379141060376426,-1.59084244315493,-1.22250329849305,1.09830602386359,0.169265404095888,0.227496216591034,2.99908134626926
10638_20140516,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1571.11831118945,-1561.22367085003,-1564.22367085003,-1570.55753525213,0.0428279495524178,-1.72810722288547,-2.51995771742788,1.48823859192358,0.150829846838107,0.0744708594377845,4.42928686225508
10662_20140415,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1074.86583739331,-1065.32348486485,-1068.32348486485,-1074.65734926696,0.170977257748399,-3.38074815912266,-1.13089834158256,-1.17139460853082,0.0329025800533784,0.243995353253377,0.3099344025627
10711_20140825,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1806.06162890754,-1798.05780419296,-1801.05780419296,-1807.39166859507,0.00967956115510205,-3.91908364144959,-3.38528119415304,0.61056107321422,0.019472573259232,0.0327586438898834,1.84146430528309
10767_20140828,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1667.24736818734,-1660.3600800838,-1663.3600800838,-1669.69394448591,0.0219696951178624,-1.88569454766606,1.4370212238814,0.224705075350643,0.131736154220888,0.80799294701348,1.25195342981241
10772_20140509,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1696.14726656784,-1686.04557679765,-1689.04557679765,-1695.37944119975,0.0142797778081707,-1.40277363732991,-5.098784567851,2.72112592508179,0.197376345956748,0.0060671265337068,15.1974237762341
10811_20140801,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1577.65936121021,-1569.07559028212,-1572.07559028212,-1578.40945468423,0.0565666038749579,3.5917639443996,-1.65716557186017,2.52303572935697,0.973188944881271,0.160142852229667,12.4663838461453
10814_20140807,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1769.98252290252,-1762.812982556,-1765.812982556,-1772.1468469581,0.0178145376644476,-2.73269121894366,0.103203360142675,-0.0469487763224267,0.0610716607646818,0.525777964147598,0.954136270707322
10822_20140703,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1552.05626661341,-1543.6659255649,-1546.6659255649,-1552.99978996701,0.0515204803588756,-3.06104923811833,-0.927505173227867,-0.39297242072956,0.0447428362251709,0.283431134769255,0.675047364643239
10873_20141014,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1396.24709029736,-1387.38188800147,-1390.38188800147,-1396.71575240358,0.102962114884567,-2.72967215666917,-0.443806308609265,-0.525921705843286,0.0612450091523081,0.390834376777241,0.591010375529132
10891_20140925,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1685.40312992329,-1677.1136792732,-1680.1136792732,-1686.44754367531,0.0250764028112588,-3.32072587288722,-2.00882620363734,0.157355947376567,0.0348669737399769,0.118279337413465,1.17041214489744
10895_20140709,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1845.8081328743,-1840.65874620825,-1843.65874620825,-1849.99261061036,0.00275162874284474,-0.978202569140176,0.285589499048252,2.03691392389773,0.273248578781577,0.570916028050018,7.66691197813914
10997_20140221,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1695.7621358004,-1686.80044273145,-1689.80044273145,-1696.13430713355,0.0216206385181058,1.29695081576487,-2.98072032865927,2.94726901929855,0.785321363074439,0.0483045035860511,19.053846921045
11162_20140708,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1446.36445241334,-1437.52142213091,-1440.52142213091,-1446.85528653301,0.064569287382009,3.65398016147656,-2.20447670125602,2.48900114993327,0.974765385326953,0.0993491995736628,12.0492347287606
11178_20140515,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1369.39965086134,-1360.18370169267,-1363.18370169267,-1369.51756609477,0.107644156717756,0.713137844233291,-0.869244769060509,1.81633206958581,0.671094137581232,0.295411474147076,6.14926196905664
11216_20141008,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1732.87980240721,-1724.49376704261,-1727.49376704261,-1733.82763144472,0.0201153953868461,-3.54709982636992,-1.88217375332418,-0.250556000680747,0.0280014007848121,0.132139391216504,0.778367889661518
11228_20140911,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1248.31332891334,-1238.74559333536,-1241.74559333536,-1248.07945773746,0.1219131582041,-1.46079604288778,-1.05505417313882,0.599147717048247,0.188345602722582,0.258255742541688,1.8205665011939
11229_20140212,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1742.20183770643,-1735.00033720769,-1738.00033720769,-1744.3342016098,0.0212598136278969,-1.37640466006597,0.123640547609689,1.05184163033853,0.201587047862064,0.530870820104893,2.86291870404341
11243_20140213,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1618.53146447183,-1610.43590811805,-1613.43590811805,-1619.76977252016,0.0374146809689303,0.567763180197557,0.326278993603073,1.91723134194116,0.63824688061642,0.580853724186795,6.80209968646307
11246_20140218,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1582.74399486587,-1573.13397288383,-1576.13397288383,-1582.46783728594,0.0397973529908642,-0.636519908730139,-2.37705967082666,2.08614649806586,0.346033641885051,0.0849388217854909,8.0538198794313
11250_20140422,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1119.40673972588,-1110.39439792148,-1113.39439792148,-1119.72826232358,0.157488879067346,2.90564681511596,-1.43167131435002,1.88921130149698,0.948124874264149,0.19283840766356,6.61415005310596
11253_20140219,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1319.52149919163,-1309.89930224349,-1312.89930224349,-1319.2331666456,0.0998780894424308,0.413616599744903,-1.72636941579259,1.90385303595024,0.601954753753012,0.151052560609843,6.71170512674055
11255_20140318,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1725.60700337166,-1717.11871636421,-1720.11871636421,-1726.45258076632,0.0153723895146244,1.82339848932654,-3.22165411321463,3.22947665635406,0.860973419320946,0.0383589227602276,25.2664304844164
11258_20140303,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1161.59722767278,-1152.87876034844,-1155.87876034844,-1162.21262475055,0.197941649397899,-2.82649007457657,0.153431746876852,-1.17834713723424,0.0559093756188547,0.538282863801334,0.307787048154119
11262_20140312,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1213.87679369641,-1203.33762011954,-1206.33762011954,-1212.67148452165,0.123493694230841,-0.651417177896403,-1.65320546121959,1.42610206582469,0.342670250624832,0.16067619281328,4.16244260167747
11263_20140324,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1469.36565638883,-1460.69972383076,-1463.69972383076,-1470.03358823287,0.0559578194170801,3.5266368988742,-2.10446445790502,2.50855388728379,0.971436241224953,0.108663656193811,12.2871486047713
11265_20140923,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1269.61951740365,-1260.41455552348,-1263.41455552348,-1269.74841992559,0.0978918721201186,-1.45357990958231,-1.1428316496893,0.824538696661952,0.189451225791585,0.241800846120607,2.28082836887089
11274_20140528,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1458.76099482696,-1450.10536245679,-1453.10536245679,-1459.4392268589,0.052232059713869,3.41073116048559,-1.8602815107036,2.38461103595006,0.968038232514788,0.134670242962227,10.8548397012716
11275_20140620,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1713.86671471111,-1705.9141140517,-1708.9141140517,-1715.24797845381,0.0249029912769227,2.87457932485083,-1.38336049451515,2.81183583016722,0.946575400480807,0.200469831846939,16.6404392148385
11277_20140519,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1547.7348911221,-1539.83133133417,-1542.83133133417,-1549.16519573628,0.0609435042888755,3.03960193273482,-0.026744941277691,2.10800352259406,0.954331483425777,0.493314163202893,8.23179028475227
11278_20140505,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1146.57059660165,-1137.15864056972,-1140.15864056972,-1146.49250497182,0.210833882596334,-3.4212518584684,-0.461762720725246,-1.576856088576,0.0316378528220193,0.386567740903643,0.206623684684182
